LOGIN,SYMBOL,PROFIT,win,loss,transactions,win_loss_ratio,profit_per_transactions
0,0,0.0,0,82,82,0.0,0.0
0,1,0.0,0,83,83,0.0,0.0
0,6,0.0,0,493941,0,0.0,
0,7,0.0,0,681,0,0.0,
1,0,0.0,0,36,36,0.0,0.0
1,1,0.0,0,22,22,0.0,0.0
2,0,0.0,0,930659,930659,0.0,0.0
2,1,0.0,0,876655,876655,0.0,0.0
2,2,0.0,0,618,618,0.0,0.0
2,3,0.0,0,607,607,0.0,0.0
2,4,0.0,0,808,808,0.0,0.0
2,5,0.0,0,853,853,0.0,0.0
3,0,0.0,0,3957808,3957808,0.0,0.0
3,1,0.0,0,3551644,3551644,0.0,0.0
3,2,0.0,0,13526,13526,0.0,0.0
3,3,0.0,0,11859,11859,0.0,0.0
3,4,0.0,0,5113,5113,0.0,0.0
3,5,0.0,0,4104,4104,0.0,0.0
4,0,0.0,0,287214,287214,0.0,0.0
4,1,0.0,0,316449,316449,0.0,0.0
4,2,0.0,0,11,11,0.0,0.0
4,3,0.0,0,2,2,0.0,0.0
5,0,0.0,0,4174110,4174110,0.0,0.0
5,1,0.0,0,5003891,5003891,0.0,0.0
5,2,0.0,0,877,877,0.0,0.0
5,3,0.0,0,819,819,0.0,0.0
5,4,0.0,0,3575,3575,0.0,0.0
5,5,0.0,0,3569,3569,0.0,0.0
