LOGIN,SYMBOL,TICKET,PROFIT,loss,win,win_rate
1162,EURGBP,1,-47.29,1,0,0.0
1162,EURUSD,82,-697.0,27,55,0.6707317073170732
1162,GBPJPY,3,49.46,0,3,1.0
1162,GBPUSD,43,-346.0,8,35,0.813953488372093
1162,USDCHF,2,8.92,0,2,1.0
1162,USDJPY,13,-238.97000000000003,4,9,0.6923076923076923
1396,AUDCAD,13,205.97,1,12,0.9230769230769231
1396,AUDJPY,1,-39.57,1,0,0.0
1396,AUDUSD,10,530.0,3,7,0.7
1396,EURGBP,3,33.01,0,3,1.0
1396,EURJPY,15,-294.31,5,10,0.6666666666666666
1396,EURUSD,257,-5559.93,58,199,0.77431906614786
1396,GBPCHF,1,13.84,0,1,1.0
1396,GBPJPY,8,38.83000000000001,3,5,0.625
1396,GBPUSD,25,-935.0,6,19,0.76
1396,NZDUSD,2,420.0,0,2,1.0
1396,USDCAD,1562,6004.540000000004,303,1259,0.8060179257362355
1396,USDCHF,17,379.97999999999996,3,14,0.8235294117647058
1396,USDJPY,38,-470.18,13,25,0.6578947368421053
1524,EURJPY,9,3616.96,0,9,1.0
1524,EURUSD,26,-24810.0,3,23,0.8846153846153846
1524,GBPJPY,48,-145814.50999999998,4,44,0.9166666666666666
1524,GBPUSD,41,-15850.0,1,40,0.975609756097561
1524,USDCAD,42,-16578.62,3,39,0.9285714285714286
1524,USDJPY,20,14296.35,0,20,1.0
22002,EURUSD,162,-1042.98,83,79,0.4876543209876543
22002,GBPUSD,28,-55.699999999999996,16,12,0.42857142857142855
22002,USDCHF,12,-66.78,6,6,0.5
22002,USDJPY,13,15.110000000000005,3,10,0.7692307692307693
22093,EURUSD,141,-352.0,106,35,0.24822695035460993
22093,GBPUSD,10,-500.0,8,2,0.2
31306,AUDUSD,17,365.0,10,7,0.4117647058823529
31306,EURGBP,2,-36.42,1,1,0.5
31306,EURJPY,1,-16.09,1,0,0.0
31306,EURUSD,792,-18980.3,404,388,0.4898989898989899
31306,GBPCHF,2,31.049999999999997,1,1,0.5
31306,GBPJPY,6,48.20999999999999,2,4,0.6666666666666666
31306,GBPUSD,181,-1891.0,102,79,0.43646408839779005
31306,USDCAD,9,-518.68,7,2,0.2222222222222222
31306,USDCHF,46,-16.449999999999992,14,32,0.6956521739130435
31306,USDJPY,41,-564.0,15,26,0.6341463414634146
43044,AUDJPY,1,0.65,0,1,1.0
43044,EURCHF,1,1.5,0,1,1.0
43044,EURGBP,2,-4.0,1,1,0.5
43044,EURJPY,1,-4.79,1,0,0.0
43044,EURUSD,798,-830.9,285,513,0.6428571428571429
43044,GBPUSD,2,3.3,0,2,1.0
43044,USDCHF,1,-3.94,1,0,0.0
43044,USDJPY,1,-3.04,1,0,0.0
51023,AUDUSD,17,-5.5,11,6,0.35294117647058826
51023,EURGBP,7,-80.03,4,3,0.42857142857142855
51023,EURJPY,1,-19.1,1,0,0.0
51023,EURUSD,8402,-22384.99,5062,3340,0.3975243989526303
51023,GBPJPY,6,-2.0299999999999994,2,4,0.6666666666666666
51023,GBPUSD,688,-2702.2,435,253,0.36773255813953487
51023,NZDUSD,5,-9.4,4,1,0.2
51023,USDCAD,11,0.9700000000000006,8,3,0.2727272727272727
51023,USDCHF,5,-23.85,4,1,0.2
51023,USDJPY,41,267.09,23,18,0.43902439024390244
51023,XAUUSD,1,-0.65,1,0,0.0
51040,AUDJPY,13,-921.55,4,9,0.6923076923076923
51040,AUDNZD,60,-1258.92,13,47,0.7833333333333333
51040,AUDUSD,1,-10.0,1,0,0.0
51040,EURCHF,3,155.04,0,3,1.0
51040,EURJPY,214,-361.1199999999997,46,168,0.7850467289719626
51040,EURUSD,103,-1454.0,20,83,0.8058252427184466
51040,GBPJPY,446,-18733.72,92,354,0.7937219730941704
51040,GBPUSD,569,-19374.0,94,475,0.8347978910369068
51040,NZDUSD,1,10.0,0,1,1.0
51040,USDCAD,395,-12289.99,84,311,0.7873417721518987
51040,USDCHF,1,-1.66,1,0,0.0
51040,USDJPY,108,2066.02,18,90,0.8333333333333334
51040,USDMXN,1,-3.28,1,0,0.0
51114,EURUSD,67,57.900000000000006,45,22,0.3283582089552239
51114,GBPJPY,5,-183.47,5,0,0.0
51114,GBPUSD,34,-636.0,29,5,0.14705882352941177
51114,USDCHF,13,-93.58,11,2,0.15384615384615385
51166,AUDUSD,10,333.0,1,9,0.9
51166,EURCAD,2,65.01,0,2,1.0
51166,EURCHF,1,-175.13,1,0,0.0
